  2.23410E-03  1.03480E+00
  3.99021E-03  1.03391E+00
  6.44877E-03  1.03236E+00
  9.60978E-03  1.03025E+00
  1.34732E-02  1.02790E+00
  1.80391E-02  1.02547E+00
  2.33075E-02  1.02306E+00
  2.92783E-02  1.02072E+00
  3.59515E-02  1.01853E+00
  4.33272E-02  1.01649E+00
  5.14053E-02  1.01461E+00
  6.01859E-02  1.01290E+00
  6.96689E-02  1.01136E+00
  7.98544E-02  1.00999E+00
  9.07423E-02  1.00878E+00
  1.02333E-01  1.00773E+00
  1.14625E-01  1.00683E+00
  1.27621E-01  1.00610E+00
  1.41318E-01  1.00553E+00
  1.55719E-01  1.00508E+00
  1.70821E-01  1.00485E+00
  1.86626E-01  1.00476E+00
  2.03134E-01  1.00468E+00
  2.20343E-01  1.00537E+00
  2.38255E-01  1.00854E+00
  2.56869E-01  1.01520E+00
  2.76184E-01  1.02514E+00
  2.96197E-01  1.03804E+00
  3.16903E-01  1.05398E+00
  3.38289E-01  1.07295E+00
  3.60331E-01  1.09499E+00
  3.82975E-01  1.12016E+00
  4.06124E-01  1.14848E+00
  4.29604E-01  1.17987E+00
  4.53137E-01  1.21407E+00
  4.76330E-01  1.25053E+00
  4.98721E-01  1.28843E+00
  5.19869E-01  1.32679E+00
  5.39461E-01  1.36466E+00
  5.57366E-01  1.40136E+00
  5.73611E-01  1.43648E+00
  5.88322E-01  1.46988E+00
  6.01671E-01  1.50157E+00
  6.13835E-01  1.53165E+00
  6.24977E-01  1.56027E+00
  6.35241E-01  1.58758E+00
  6.44748E-01  1.61372E+00
  6.53601E-01  1.63884E+00
  6.61886E-01  1.66304E+00
  6.69673E-01  1.68644E+00
  6.77024E-01  1.70913E+00
  6.83988E-01  1.73119E+00
  6.90609E-01  1.75269E+00
  6.96922E-01  1.77368E+00
  7.02960E-01  1.79423E+00
  7.08748E-01  1.81438E+00
  7.14311E-01  1.83417E+00
  7.19668E-01  1.85364E+00
  7.24837E-01  1.87283E+00
  7.29835E-01  1.89177E+00
  7.34674E-01  1.91048E+00
  7.39367E-01  1.92899E+00
  7.43925E-01  1.94731E+00
  7.48357E-01  1.96548E+00
  7.52673E-01  1.98351E+00
  7.56881E-01  2.00142E+00
  7.60987E-01  2.01922E+00
  7.64998E-01  2.03692E+00
  7.68920E-01  2.05455E+00
  7.72758E-01  2.07211E+00
  7.76518E-01  2.08962E+00
  7.80204E-01  2.10708E+00
  7.83820E-01  2.12451E+00
  7.87369E-01  2.14192E+00
  7.90856E-01  2.15931E+00
  7.94284E-01  2.17670E+00
  7.97656E-01  2.19408E+00
  8.00975E-01  2.21148E+00
  8.04242E-01  2.22889E+00
  8.07462E-01  2.24633E+00
  8.10635E-01  2.26379E+00
  8.13765E-01  2.28129E+00
  8.16853E-01  2.29883E+00
  8.19901E-01  2.31641E+00
  8.22911E-01  2.33404E+00
  8.25885E-01  2.35172E+00
  8.28823E-01  2.36946E+00
  8.31729E-01  2.38725E+00
  8.34602E-01  2.40510E+00
  8.37445E-01  2.42302E+00
  8.40259E-01  2.44099E+00
  8.43044E-01  2.45903E+00
  8.45803E-01  2.47713E+00
  8.48535E-01  2.49529E+00
  8.51243E-01  2.51352E+00
  8.53927E-01  2.53180E+00
  8.56588E-01  2.55014E+00
  8.59227E-01  2.56852E+00
  8.61845E-01  2.58695E+00
  8.64442E-01  2.60541E+00
  8.67020E-01  2.62391E+00
  8.69579E-01  2.64242E+00
  8.72119E-01  2.66094E+00
  8.74643E-01  2.67946E+00
  8.77150E-01  2.69796E+00
  8.79640E-01  2.71643E+00
  8.82115E-01  2.73485E+00
  8.84575E-01  2.75321E+00
  8.87021E-01  2.77149E+00
  8.89453E-01  2.78966E+00
  8.91872E-01  2.80770E+00
  8.94278E-01  2.82558E+00
  8.96672E-01  2.84327E+00
  8.99054E-01  2.86073E+00
  9.01425E-01  2.87794E+00
  9.03785E-01  2.89484E+00
  9.06135E-01  2.91139E+00
  9.08474E-01  2.92755E+00
  9.10804E-01  2.94326E+00
  9.13125E-01  2.95846E+00
  9.15438E-01  2.97308E+00
  9.17741E-01  2.98706E+00
  9.20037E-01  3.00032E+00
  9.22326E-01  3.01277E+00
  9.24607E-01  3.02433E+00
  9.26881E-01  3.03488E+00
  9.29148E-01  3.04431E+00
  9.31409E-01  3.05249E+00
  9.33665E-01  3.05929E+00
  9.35914E-01  3.06458E+00
  9.38159E-01  3.06820E+00
  9.40398E-01  3.07005E+00
  9.42633E-01  3.07003E+00
  9.44863E-01  3.06807E+00
  9.47090E-01  3.06419E+00
  9.49312E-01  3.05855E+00
  9.51531E-01  3.05146E+00
  9.53747E-01  3.04335E+00
  9.55960E-01  3.03483E+00
  9.58170E-01  3.02652E+00
  9.60378E-01  3.01925E+00
  9.62583E-01  3.01417E+00
  9.64787E-01  3.01105E+00
  9.66989E-01  3.01163E+00
  9.69190E-01  3.01620E+00
  9.71389E-01  3.02526E+00
  9.73588E-01  3.03933E+00
  9.75786E-01  3.05866E+00
  9.77984E-01  3.08365E+00
  9.80182E-01  3.11451E+00
  9.82380E-01  3.15155E+00
  9.84578E-01  3.19494E+00
  9.86777E-01  3.24603E+00
  9.88977E-01  3.30690E+00
  9.91178E-01  3.38057E+00
  9.93381E-01  3.47295E+00
  9.95585E-01  3.59742E+00
  9.97792E-01  3.79727E+00
