@jorek_model:   199
@n_tor:     3
@n_plane:     4
@n_period:     1
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,01,cos}" "E_{mag,01,sin}" "E_{kin,00,cos}" "E_{kin,01,cos}" "E_{kin,01,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,01,cos}" "G_{mag,01,sin}" "G_{kin,00,cos}" "G_{kin,01,cos}" "G_{kin,01,sin}" 
@energies:  1.900000000E+04  2.012238872E-02  5.400655066E-28  5.397975387E-28  2.208831227E-15  2.346687597E-28  2.348496116E-28
@growth_rates:  1.850000000E+04 -7.024134163E-12  3.421515710E-04  3.416317417E-04  7.481895756E-05  3.430324111E-04  3.434182333E-04
@times:    20   2.000000000E+04
@energies:  2.000000000E+04  2.012238845E-02  1.071549552E-27  1.071120489E-27  2.342212547E-15  4.659245554E-28  4.660156265E-28
@growth_rates:  1.950000000E+04 -6.865859659E-12  3.425853094E-04  3.426332125E-04  2.931624831E-05  3.429243680E-04  3.426369040E-04
@times:    21   2.100000000E+04
@energies:  2.100000000E+04  2.012238817E-02  2.126089135E-27  2.126125184E-27  2.577685996E-15  9.252970229E-28  9.416643435E-28
@growth_rates:  2.050000000E+04 -6.819177667E-12  3.425892124E-04  3.427979369E-04  4.789803996E-05  3.430455345E-04  3.517148605E-04
@times:    22   2.200000000E+04
@energies:  2.200000000E+04  2.012238790E-02  4.217501787E-27  4.217813870E-27  2.605745094E-15  1.836878071E-27  1.843801675E-27
@growth_rates:  2.150000000E+04 -6.683696929E-12  3.424793769E-04  3.425078963E-04  5.413281612E-06  3.428539586E-04  3.359679796E-04
@times:    23   2.300000000E+04
@energies:  2.300000000E+04  2.012238763E-02  8.364049618E-27  8.364798532E-27  2.721394645E-15  3.645634940E-27  3.648897737E-27
@growth_rates:  2.250000000E+04 -6.639920391E-12  3.423498774E-04  3.423576480E-04  2.171291354E-05  3.427315575E-04  3.412977820E-04
@times:    24   2.400000000E+04
@energies:  2.400000000E+04  2.012238737E-02  1.660313861E-26  1.660289020E-26  2.632077964E-15  7.235791657E-27  7.236704389E-27
@growth_rates:  2.350000000E+04 -6.527669072E-12  3.428245184E-04  3.427722696E-04 -1.668542571E-05  3.427546147E-04  3.423703879E-04
@times:    25   2.500000000E+04
@energies:  2.500000000E+04  2.012238711E-02  3.294985884E-26  3.293849362E-26  2.618949000E-15  1.436317683E-26  1.436381562E-26
@growth_rates:  2.450000000E+04 -6.480035175E-12  3.426976131E-04  3.425326020E-04 -2.500271026E-06  3.428139960E-04  3.427731662E-04
@times:    26   2.600000000E+04
@energies:  2.600000000E+04  2.012238685E-02  6.536708743E-26  6.535629887E-26  2.441167660E-15  2.851571436E-26  2.851598020E-26
@growth_rates:  2.550000000E+04 -6.391436269E-12  3.425159523E-04  3.426059147E-04 -3.514830917E-05  3.428937750E-04  3.428761993E-04
@times:    27   2.700000000E+04
@energies:  2.700000000E+04  2.012238660E-02  1.297839597E-25  1.297397698E-25  2.327827905E-15  5.661363650E-26  5.661380566E-26
@growth_rates:  2.650000000E+04 -6.335153735E-12  3.429261691E-04  3.428384258E-04 -2.377043545E-05  3.428972836E-04  3.428941165E-04
@times:    28   2.800000000E+04
@energies:  2.800000000E+04  2.012238635E-02  2.575747446E-25  2.575767139E-25  2.120279073E-15  1.124191352E-25  1.124203534E-25
@growth_rates:  2.750000000E+04 -6.270025832E-12  3.427193644E-04  3.428934601E-04 -4.669394255E-05  3.429921405E-04  3.429960646E-04
@times:    29   2.900000000E+04
@energies:  2.900000000E+04  2.012238610E-02  5.113141444E-25  5.112825343E-25  1.958936515E-15  2.232615480E-25  2.232762612E-25
@growth_rates:  2.850000000E+04 -6.202059977E-12  3.428371084E-04  3.428023741E-04 -3.957299321E-05  3.430548904E-04  3.430824217E-04
@times:    30   3.000000000E+04
@energies:  3.000000000E+04  2.012238585E-02  1.015851448E-24  1.015389428E-24  1.790758486E-15  4.434918919E-25  4.434705830E-25
@growth_rates:  2.950000000E+04 -6.159329713E-12  3.432491198E-04  3.430525744E-04 -4.488123328E-05  3.431677871E-04  3.431108130E-04
@times:    31   3.100000000E+04
@energies:  3.100000000E+04  2.012238560E-02  2.016466880E-24  2.016476212E-24  1.637277400E-15  8.810220300E-25  8.810008754E-25
@growth_rates:  3.050000000E+04 -6.078444637E-12  3.428098924E-04  3.430396633E-04 -4.480226230E-05  3.432015559E-04  3.432135746E-04
@times:    32   3.200000000E+04
@energies:  3.200000000E+04  2.012238536E-02  4.005526704E-24  4.005524395E-24  1.565824311E-15  1.750533673E-24  1.750508685E-24
@growth_rates:  3.150000000E+04 -6.056059432E-12  3.431640864E-04  3.431614842E-04 -2.231116943E-05  3.432966725E-04  3.433015411E-04
@times:    33   3.300000000E+04
@energies:  3.300000000E+04  2.012238512E-02  7.958048582E-24  7.958026105E-24  1.460755383E-15  3.478786556E-24  3.478750168E-24
@growth_rates:  3.250000000E+04 -5.962708105E-12  3.432543666E-04  3.432532427E-04 -3.472935710E-05  3.433814224E-04  3.433833297E-04
@times:    34   3.400000000E+04
@energies:  3.400000000E+04  2.012238488E-02  1.581326523E-23  1.581324780E-23  1.514293391E-15  6.914425505E-24  6.914361206E-24
@growth_rates:  3.350000000E+04 -5.957644156E-12  3.433326711E-04  3.433335325E-04  1.799761699E-05  3.434631699E-04  3.434637504E-04
@times:    35   3.500000000E+04
@energies:  3.500000000E+04  2.012238465E-02  3.142740384E-23  3.142740243E-23  1.470975540E-15  1.374532452E-23  1.374520542E-23
@growth_rates:  3.450000000E+04 -5.853756369E-12  3.434155435E-04  3.434160720E-04 -1.451155388E-05  3.435444246E-04  3.435447418E-04
@times:    36   3.600000000E+04
@energies:  3.600000000E+04  2.012238441E-02  6.246908288E-23  6.246899461E-23  1.641299267E-15  2.732912106E-23  2.732888673E-23
@growth_rates:  3.550000000E+04 -5.862129671E-12  3.434957573E-04  3.434950731E-04  5.478117542E-05  3.436270539E-04  3.436270992E-04
@times:    37   3.700000000E+04
@energies:  3.700000000E+04  2.012238418E-02  1.241921171E-22  1.241921672E-22  1.644532997E-15  5.434596853E-23  5.434551561E-23
@growth_rates:  3.650000000E+04 -5.750801169E-12  3.435789687E-04  3.435798772E-04  9.841435135E-07  3.437087978E-04  3.437089179E-04
@times:    38   3.800000000E+04
@energies:  3.800000000E+04  2.012238395E-02  2.469411241E-22  2.469411951E-22  1.891255966E-15  1.080886165E-22  1.080877142E-22
@growth_rates:  3.750000000E+04 -5.768092892E-12  3.436601231E-04  3.436600650E-04  6.989234447E-05  3.437904897E-04  3.437904828E-04
@times:    39   3.900000000E+04
@energies:  3.900000000E+04  2.012238372E-02  4.910933698E-22  4.910932753E-22  1.906262938E-15  2.150127349E-22  2.150109464E-22
@growth_rates:  3.850000000E+04 -5.653217006E-12  3.437421641E-04  3.437419241E-04  3.951804073E-06  3.438729221E-04  3.438729371E-04
@times:    40   4.000000000E+04
@energies:  4.000000000E+04  2.012238349E-02  9.768017991E-22  9.768019294E-22  2.170649518E-15  4.277789849E-22  4.277753799E-22
@growth_rates:  3.950000000E+04 -5.674556602E-12  3.438247462E-04  3.438249091E-04  6.494084550E-05  3.439547067E-04  3.439546521E-04
@times:    41   4.100000000E+04
@energies:  4.100000000E+04  2.012238327E-02  1.943209809E-21  1.943210083E-21  2.158570461E-15  8.512287187E-22  8.512216050E-22
@growth_rates:  4.050000000E+04 -5.560442551E-12  3.439063304E-04  3.439063342E-04 -2.790130253E-06  3.440370927E-04  3.440371278E-04
@times:    42   4.200000000E+04
@energies:  4.200000000E+04  2.012238304E-02  3.866376347E-21  3.866376681E-21  2.381880650E-15  1.694116651E-21  1.694102399E-21
@growth_rates:  4.150000000E+04 -5.580924389E-12  3.439882887E-04  3.439882615E-04  4.922209289E-05  3.441179386E-04  3.441179106E-04
@times:    43   4.300000000E+04
@energies:  4.300000000E+04  2.012238282E-02  7.694138645E-21  7.694140353E-21  2.316056766E-15  3.372190960E-21  3.372162739E-21
@growth_rates:  4.250000000E+04 -5.471876730E-12  3.440705501E-04  3.440706178E-04 -1.401214751E-05  3.442006072E-04  3.442006292E-04
@times:    44   4.400000000E+04
@energies:  4.400000000E+04  2.012238260E-02  1.531390803E-20  1.531391016E-20  2.456256514E-15  6.713523158E-21  6.713466741E-21
@growth_rates:  4.350000000E+04 -5.486913368E-12  3.441513066E-04  3.441512651E-04  2.938618944E-05  3.442806022E-04  3.442805848E-04
@times:    45   4.500000000E+04
@energies:  4.500000000E+04  2.012238238E-02  3.048487272E-20  3.048487534E-20  2.333646870E-15  1.336790152E-20  1.336778955E-20
@growth_rates:  4.450000000E+04 -5.386876500E-12  3.442345735E-04  3.442345469E-04 -2.560311229E-05  3.443662752E-04  3.443662890E-04
@times:    46   4.600000000E+04
