@jorek_model:   302
@n_tor:     3
@n_plane:     8
@n_period:     8
@plottable: energies growth_rates times
@variable_names: Flux        Potential   Current     Vorticity   Density     Temperature V_parallel 
@n_times:     1
@times_xlabel: time step
@times_ylabel: normalized time
@times: "step"     "time"
@n_energies:     6
@energies_xlabel: normalized time
@energies_ylabel: normalized energy
@energies: "time"           "E_{mag,00,cos}" "E_{mag,08,cos}" "E_{mag,08,sin}" "E_{kin,00,cos}" "E_{kin,08,cos}" "E_{kin,08,sin}" 
@n_growth_rates:     6
@growth_rates_xlabel: normalized time
@growth_rates_ylabel: normalized growth rate
@growth_rates: "time"           "G_{mag,00,cos}" "G_{mag,08,cos}" "G_{mag,08,sin}" "G_{kin,00,cos}" "G_{kin,08,cos}" "G_{kin,08,sin}" 
@growth_rates:  9.500000000E-02 -5.087456345E-07  0.000000000E+00  0.000000000E+00  1.014768773E+01  0.000000000E+00  0.000000000E+00
@times:    20   2.000000000E-01
@energies:  2.000000000E-01  1.844798951E-01  0.000000000E+00  0.000000000E+00  1.220337473E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  1.500000000E-01 -6.667703933E-07  0.000000000E+00  0.000000000E+00  6.499449452E+00  0.000000000E+00  0.000000000E+00
@times:    21   3.000000000E-01
@energies:  3.000000000E-01  1.844798610E-01  0.000000000E+00  0.000000000E+00  2.500477966E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  2.500000000E-01 -9.250512489E-07  0.000000000E+00  0.000000000E+00  3.586772312E+00  0.000000000E+00  0.000000000E+00
@times:    22   4.000000000E-01
@energies:  4.000000000E-01  1.844798188E-01  0.000000000E+00  0.000000000E+00  4.019986256E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  3.500000000E-01 -1.142822174E-06  0.000000000E+00  0.000000000E+00  2.373982920E+00  0.000000000E+00  0.000000000E+00
@times:    23   5.000000000E-01
@energies:  5.000000000E-01  1.844797702E-01  0.000000000E+00  0.000000000E+00  5.647371919E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  4.500000000E-01 -1.318616409E-06  0.000000000E+00  0.000000000E+00  1.699559030E+00  0.000000000E+00  0.000000000E+00
@times:    24   6.000000000E-01
@energies:  6.000000000E-01  1.844797162E-01  0.000000000E+00  0.000000000E+00  7.276307303E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  5.500000000E-01 -1.461985898E-06  0.000000000E+00  0.000000000E+00  1.267166025E+00  0.000000000E+00  0.000000000E+00
@times:    25   7.000000000E-01
@energies:  7.000000000E-01  1.844796580E-01  0.000000000E+00  0.000000000E+00  8.825921985E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  6.500000000E-01 -1.579208390E-06  0.000000000E+00  0.000000000E+00  9.653478834E-01  0.000000000E+00  0.000000000E+00
@times:    26   8.000000000E-01
@energies:  8.000000000E-01  1.844795962E-01  0.000000000E+00  0.000000000E+00  1.023807683E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  7.500000000E-01 -1.675360315E-06  0.000000000E+00  0.000000000E+00  7.421036059E-01  0.000000000E+00  0.000000000E+00
@times:    27   9.000000000E-01
@energies:  9.000000000E-01  1.844795314E-01  0.000000000E+00  0.000000000E+00  1.147413024E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  8.500000000E-01 -1.754204230E-06  0.000000000E+00  0.000000000E+00  5.699058216E-01  0.000000000E+00  0.000000000E+00
@times:    28   1.000000000E+00
@energies:  1.000000000E+00  1.844794643E-01  0.000000000E+00  0.000000000E+00  1.251202925E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  9.500000000E-01 -1.818672236E-06  0.000000000E+00  0.000000000E+00  4.329778238E-01  0.000000000E+00  0.000000000E+00
@times:    29   2.000000000E+00
@energies:  2.000000000E+00  1.844787844E-01  0.000000000E+00  0.000000000E+00  1.457403429E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  1.500000000E+00 -1.842872902E-06  0.000000000E+00  0.000000000E+00  7.627547509E-02  0.000000000E+00  0.000000000E+00
@times:    30   3.000000000E+00
@energies:  3.000000000E+00  1.844782303E-01  0.000000000E+00  0.000000000E+00  1.014329569E-07  0.000000000E+00  0.000000000E+00
@growth_rates:  2.500000000E+00 -1.501671596E-06  0.000000000E+00  0.000000000E+00 -1.812142540E-01  0.000000000E+00  0.000000000E+00
@times:    31   4.000000000E+00
@energies:  4.000000000E+00  1.844781136E-01  0.000000000E+00  0.000000000E+00  7.753847780E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  3.500000000E+00 -3.164064968E-07  0.000000000E+00  0.000000000E+00 -1.343118780E-01  0.000000000E+00  0.000000000E+00
@times:    32   5.000000000E+00
@energies:  5.000000000E+00  1.844786324E-01  0.000000000E+00  0.000000000E+00  7.462481496E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  4.500000000E+00  1.406156748E-06  0.000000000E+00  0.000000000E+00 -1.915060437E-02  0.000000000E+00  0.000000000E+00
@times:    33   6.000000000E+00
@energies:  6.000000000E+00  1.844797152E-01  0.000000000E+00  0.000000000E+00  8.016725018E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  5.500000000E+00  2.934647610E-06  0.000000000E+00  0.000000000E+00  3.582099376E-02  0.000000000E+00  0.000000000E+00
@times:    34   7.000000000E+00
@energies:  7.000000000E+00  1.844810475E-01  0.000000000E+00  0.000000000E+00  8.809330088E-08  0.000000000E+00  0.000000000E+00
@growth_rates:  6.500000000E+00  3.610963770E-06  0.000000000E+00  0.000000000E+00  4.714070524E-02  0.000000000E+00  0.000000000E+00
@times:    35   8.000000000E+00
@energies:  8.000000000E+00  1.844822028E-01  0.000000000E+00  0.000000000E+00  9.472798088E-08  0.000000000E+00  0.000000000E+00
